,tickers
385,SASTASUNDR.csv
386,IVC.csv
387,KEERTI.csv
388,PRAENG.csv
389,CLNINDIA.csv
390,SPYL.csv
391,BODALCHEM.csv
392,GTPL.csv
393,IOC.csv
394,MARUTI.csv
395,SFL.csv
396,REPCOHOME.csv
397,AGROPHOS.csv
398,JITFINFRA.csv
399,TREJHARA.csv
400,MANGLMCEM.csv
401,3MINDIA.csv
402,TANLA.csv
403,CELEBRITY.csv
404,BANDHANBNK.csv
405,TEJASNET.csv
406,HMT.csv
407,EXCEL.csv
408,POKARNA.csv
409,JSWENERGY.csv
410,EXCELINDUS.csv
411,PALASHSECU.csv
412,MBAPL.csv
413,GIPCL.csv
414,BIRLACORPN.csv
415,ASHAPURMIN.csv
416,GENESYS.csv
417,MASFIN.csv
418,CAPACITE.csv
419,BDL.csv
420,CONTROLPR.csv
421,SCHAND.csv
422,BAYERCROP.csv
423,KOKUYOCMLN.csv
424,EMAMIREAL.csv
425,SOUTHWEST.csv
426,SIGIND.csv
427,ICICITECH.csv
428,NTPC.csv
429,LYKALABS.csv
430,UMANGDAIRY.csv
431,NKIND.csv
432,TATAINVEST.csv
433,ENGINERSIN.csv
434,RAJRATAN.csv
435,ALKALI.csv
436,BSL.csv
437,MPHASIS.csv
438,INSECTICID.csv
439,HINDALCO.csv
440,AWHCL.csv
441,TI.csv
442,DHANI.csv
443,CREATIVE.csv
444,ASIANTILES.csv
445,AARVI.csv
446,MALUPAPER.csv
447,SHARDAMOTR.csv
448,AUROPHARMA.csv
449,JUSTDIAL.csv
450,SETFNIFBK.csv
451,EDUCOMP.csv
452,ADANITRANS.csv
453,TATACOMM.csv
454,TECHNOE.csv
455,SURYALAXMI.csv
456,SUNCLAYLTD.csv
457,ATULAUTO.csv
458,AMJLAND.csv
459,INGERRAND.csv
460,JKIL.csv
461,COMPUSOFT.csv
462,SIMPLEXINF.csv
463,MANAPPURAM.csv
464,TIJARIA.csv
465,WEIZMANIND.csv
466,ORIENTPPR.csv
467,SUPREMEIND.csv
468,MANAKSIA.csv
469,VISHNU.csv
470,GFLLIMITED.csv
471,GOLDIAM.csv
472,SUNDRMBRAK.csv
473,COLPAL.csv
474,SRPL.csv
475,INDUSINDBK.csv
476,KEI.csv
477,SRTRANSFIN.csv
478,KNRCON.csv
479,KANANIIND.csv
480,NAVKARCORP.csv
481,VSTIND.csv
482,OSWALAGRO.csv
483,APEX.csv
484,CINELINE.csv
485,BAGFILMS.csv
486,JASH.csv
487,ATGL.csv
488,TTL.csv
489,SANGHIIND.csv
490,VENUSREM.csv
491,KIRLOSIND.csv
492,IRCTC.csv
493,MPSLTD.csv
494,ICEMAKE.csv
495,ORIENTHOT.csv
496,ORIENTLTD.csv
497,DWARKESH.csv
498,DFMFOODS.csv
499,NRAIL.csv
500,TATACHEM.csv
501,LYPSAGEMS.csv
502,INVENTURE.csv
503,BPL.csv
504,PRECWIRE.csv
505,RVNL.csv
506,KICL.csv
507,TASTYBITE.csv
508,ORIENTCEM.csv
509,DCW.csv
510,GALLANTT.csv
511,AURIONPRO.csv
512,IBMFNIFTY.csv
513,RPOWER.csv
514,KARMAENG.csv
515,LAXMIMACH.csv
516,THOMASCOOK.csv
517,BRITANNIA.csv
518,UMESLTD.csv
519,BIRLATYRE.csv
520,TARMAT.csv
521,BANKINDIA.csv
522,GLOBUSSPR.csv
523,GTL.csv
524,NITCO.csv
525,AUSOMENT.csv
526,SECURKLOUD.csv
527,SRF.csv
528,KSL.csv
529,ALMONDZ.csv
530,LUPIN.csv
531,JINDALSTEL.csv
532,XELPMOC.csv
533,EQUITASBNK.csv
534,IDBI.csv
535,NESTLEIND.csv
536,MRPL.csv
537,GAL.csv
538,UNITEDTEA.csv
539,BPCL.csv
540,TCNSBRANDS.csv
541,MAGNUM.csv
542,CHENNPETRO.csv
543,GREENLAM.csv
544,TVVISION.csv
545,CREST.csv
546,EBBETF0425.csv
547,CUMMINSIND.csv
548,UTINIFTETF.csv
549,AFFLE.csv
550,JINDALPOLY.csv
551,RESPONIND.csv
552,ANDHRACEMT.csv
553,TCI.csv
554,AUTOAXLES.csv
555,EIDPARRY.csv
556,ISEC.csv
557,REVATHI.csv
558,GET&D.csv
559,CONSOFINVT.csv
560,KANORICHEM.csv
561,GHCL.csv
562,JSWHL.csv
563,SAKHTISUG.csv
564,ASTEC.csv
565,RVHL.csv
566,ACCELYA.csv
567,TANTIACONS.csv
568,INEOSSTYRO.csv
569,NAGREEKEXP.csv
570,CTE.csv
571,RAJESHEXPO.csv
572,UCALFUEL.csv
573,ZEELEARN.csv
574,DIAMONDYD.csv
575,VSTTILLERS.csv
576,MONTECARLO.csv
577,PUNJABCHEM.csv
578,BAJFINANCE.csv
579,PIONDIST.csv
580,BHARTIARTL.csv
581,RITES.csv
582,BANSWRAS.csv
583,SILINV.csv
584,HIKAL.csv
585,ANKITMETAL.csv
586,AXISGOLD.csv
587,PPAP.csv
588,DECCANCE.csv
589,HCLTECH.csv
590,SAGARDEEP.csv
591,DAMODARIND.csv
592,CHOLAFIN.csv
593,JKCEMENT.csv
594,UFLEX.csv
595,TIMKEN.csv
596,POLYPLEX.csv
597,KANSAINER.csv
598,SILLYMONKS.csv
599,BIOCON.csv
600,SETCO.csv
601,ZENITHEXPO.csv
602,PRECOT.csv
603,KOTAKBANK.csv
604,SAKUMA.csv
605,UNIVPHOTO.csv
606,BALMLAWRIE.csv
607,GODHA.csv
608,JETAIRWAYS.csv
609,FIEMIND.csv
610,VIKASWSP.csv
611,HISARMETAL.csv
612,ARIES.csv
613,BIRLACABLE.csv
614,SHREEPUSHK.csv
615,SICAL.csv
616,MAN50ETF.csv
617,GUJGASLTD.csv
618,XPROINDIA.csv
619,GPTINFRA.csv
620,AVANTIFEED.csv
621,DPABHUSHAN.csv
622,JINDALPHOT.csv
623,HDIL.csv
624,ICICINF100.csv
625,SUMICHEM.csv
626,MCDOWELL-N.csv
627,MAITHANALL.csv
628,GRINDWELL.csv
629,SOMATEX.csv
630,FCONSUMER.csv
631,SMSPHARMA.csv
632,BHARATGEAR.csv
633,LAURUSLABS.csv
634,MAHLOG.csv
635,NSIL.csv
636,INDIAGLYCO.csv
637,INDOCO.csv
638,RAMANEWS.csv
639,SOMICONVEY.csv
640,CGCL.csv
641,HARRMALAYA.csv
642,UNIDT.csv
643,JUBLFOOD.csv
644,IBULHSGFIN.csv
645,HESTERBIO.csv
646,M&MFIN.csv
647,SURANASOL.csv
648,ONELIFECAP.csv
649,SUMEETINDS.csv
650,FLFL.csv
651,JCHAC.csv
652,MAHSCOOTER.csv
653,SHAHALLOYS.csv
654,ADVENZYMES.csv
655,PATELENG.csv
656,REFEX.csv
657,SDBL.csv
658,SKIL.csv
